genres,popularity,valence,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,key,mode,duration_ms
21st century classical,27.83333333333333,0.1037833333333333,0.9793333333333332,0.1628833333333333,0.0713166666666666,0.60683367,0.3616,-31.514333333333337,0.0405666666666666,75.3365,6,1,160297.66666666663
432hz,52.5,0.22175,0.49478,0.2993333333333333,0.4506783333333333,0.4777616666666668,0.131,-16.854,0.0768166666666666,120.28566666666666,5,1,1048887.333333333
8-bit,48.0,0.975,0.762,0.7120000000000001,0.818,0.8759999999999999,0.126,-9.18,0.047,133.444,7,1,115177.0
[],20.859882191849056,0.5136042963588958,0.6514170195595453,0.5290925603549332,0.4191460727353524,0.2053091895111363,0.2186958541504073,-12.288964675489456,0.1078715586868139,112.8573524318416,7,1,232880.8902503945
a cappella,45.82007122507122,0.4482486545584045,0.676557304985755,0.5389612464387464,0.3164335701566952,0.0030034414404202,0.1722541371082621,-12.479387421652426,0.0828514398148148,112.1103620014245,7,1,190628.5408867521
abstract,43.5,0.307325,0.45921,0.5161666666666667,0.4424166666666666,0.8496666666666667,0.1180666666666667,-15.472083333333332,0.0465166666666666,127.88575000000002,1,1,343196.5
abstract beats,58.93333333333332,0.4935066666666666,0.3421466666666667,0.623,0.5277999999999999,0.3336026120000001,0.0996533333333333,-7.918000000000001,0.1163733333333333,112.4138,10,1,229936.2
abstract hip hop,39.79070247933884,0.5713909090909091,0.2438540633608816,0.6945709366391184,0.6462346418732783,0.0242312629201102,0.1685429201101929,-7.349327823691461,0.2142576997245178,108.2449865013774,2,1,231849.2341597796
accordeon,39.0,0.7090000000000001,0.3229999999999999,0.588,0.392,0.441,0.0794,-14.899,0.0727,109.131,2,0,164000.0
accordion,21.9375,0.6586875000000001,0.446125,0.6248125,0.3734375,0.19373839375,0.1603,-14.4870625,0.0785375,112.8724375,2,1,167061.5625
acid house,46.63846153846154,0.5676769230769231,0.0679505384615384,0.6774,0.7244030769230769,0.3858910307692308,0.2334884615384616,-9.381199999999998,0.0558553846153846,126.49209230769232,7,0,297188.05384615384
acid rock,32.67595532906288,0.5344474777454798,0.2569145079725167,0.4472389930828895,0.5806492948018793,0.1509256773784014,0.2304514628310576,-11.43307330938882,0.0675998527823348,125.65952227133604,2,1,259203.9143310266
acid trance,62.0,0.843,0.00683,0.6629999999999999,0.925,0.703,0.185,-6.775,0.0449,132.687,9,1,221160.0
acousmatic,9.342524154589372,0.3244473852657005,0.9170191062801932,0.4204582850241546,0.2385243417874396,0.6162484134359903,0.2610061823671498,-20.96456474637681,0.0806177391304347,104.07463265700486,5,1,185040.2595531401
acoustic blues,23.74606007693052,0.633785722320662,0.761723539455837,0.6069147720232645,0.3606592945953496,0.0989181361361423,0.1830982135528711,-12.55490505937252,0.0688153642290222,113.28452122830322,7,1,204321.25087923245
acoustic pop,53.11550474564842,0.3794153530026807,0.4902350260381985,0.5351083171521532,0.4764399220103099,0.0333382801090247,0.1577504987283953,-9.297247893173369,0.0417706648143185,117.88741975150836,7,1,235379.78355519092
acoustic punk,40.37649219467401,0.7305188246097337,0.4049000220385675,0.5391115702479339,0.6158241505968779,0.0619399513039485,0.2094806244260789,-8.010774104683195,0.0635705234159779,122.30848852157943,9,1,192332.11845730024
acoustic rock,51.10978835978836,0.3802986772486773,0.6132007936507936,0.5243968253968254,0.4160026455026456,0.3214749217460317,0.1405183862433862,-10.54062037037037,0.0346810846560846,122.6556626984127,7,1,195036.0
action rock,47.0,0.32,0.229,0.412,0.938,0.000259,0.106,-0.253,0.182,97.489,4,0,198400.0
adoracion,46.39285714285714,0.3115714285714285,0.4328571428571428,0.5047142857142857,0.5207499999999999,0.0,0.3159857142857142,-8.010071428571429,0.0382035714285714,130.7106785714286,9,1,302906.0714285714
adult standards,31.63490210889541,0.4993761805789757,0.6556483763400994,0.4963276348996665,0.3820535821129445,0.1181935743093194,0.1967767436932642,-12.221776284593986,0.0531578180376793,113.38117658884272,0,1,197331.50159436092
adventista,27.266666666666666,0.5145166666666666,0.7841433333333333,0.5315,0.3193833333333333,7.450333333333336e-06,0.14129,-9.338766666666668,0.0289866666666666,113.38845,6,1,202876.65
afghan pop,39.32142857142857,0.7841071428571428,0.4106285714285714,0.6517142857142858,0.6515714285714286,0.0009111632142857,0.0874607142857143,-9.152178571428571,0.0844142857142857,113.59471428571428,7,1,326503.9285714286
afghan traditional,6.333333333333332,0.7106666666666666,0.958,0.4403333333333333,0.3236666666666666,0.4007066666666666,0.1776666666666666,-14.49766666666667,0.1460333333333333,94.06966666666666,1,1,278581.33333333326
african percussion,15.454545454545457,0.4457272727272727,0.327,0.6003636363636364,0.7897272727272727,0.2573806909090909,0.1278727272727272,-6.729636363636363,0.0797090909090909,130.1315454545454,0,0,289556.2727272727
african reggae,45.8125,0.7709999999999999,0.2458,0.753,0.662125,0.0035346243749999,0.111225,-7.446874999999999,0.05889375,116.5645,7,1,267673.375
african rock,42.270833333333336,0.6064583333333333,0.1398565041666666,0.6688958333333335,0.6110625000000001,0.09379615,0.14969375,-9.36175,0.0726541666666666,115.7093125,8,1,236075.3125
african-american classical,30.64944134078212,0.2644644165114836,0.9255341402855372,0.283975667287399,0.1421949224084419,0.4320272616821849,0.1433540657976412,-24.61947206703911,0.0588104748603351,132.72893202979515,5,1,218619.10024829305
afro dancehall,44.135101010101,0.6193598484848485,0.1439002482196969,0.6434583333333334,0.7646818181818181,0.0072262542929292,0.1687770202020202,-5.698983585858586,0.1601521464646464,131.96408964646463,11,0,199565.2285353536
afro house,48.33333333333334,0.6205,0.3216666666666666,0.636,0.5706666666666668,0.1335673333333333,0.1258333333333333,-10.103833333333332,0.1270333333333333,139.69799999999998,6,1,236572.33333333328
afro psych,36.0,0.8303333333333334,0.2280666666666667,0.6243333333333334,0.722,0.1449692433333333,0.2333333333333333,-10.926333333333332,0.0545333333333333,111.682,7,1,331866.66666666674
afro soul,77.0,0.743,0.00627,0.7659999999999999,0.873,0.0,0.0764,-6.381,0.143,126.988,11,0,202627.0
afro-funk,28.33333333333333,0.8796296296296297,0.1375592592592593,0.8031481481481482,0.7242962962962963,0.0798404222222222,0.0937037037037037,-8.909833333333333,0.0959462962962963,114.17362962962964,0,1,286121.48148148146
afrobeat,39.99435661557381,0.710820172464364,0.3608718067607344,0.6329610303477765,0.6190763879414471,0.3140237645946228,0.1520585542783834,-9.931080518421174,0.0603776928584909,117.10862177680056,0,1,320584.21705094987
afrofuturism,45.43323475601021,0.4588383044797964,0.2481634593146479,0.6335189768676742,0.581705356229114,0.1279611452847072,0.1975452786949099,-9.079584287901104,0.141947563687649,110.50069322962165,7,1,288939.43166504195
afrofuturismo brasileiro,37.0,0.422,0.626,0.484,0.81,0.000283,0.11,-4.579,0.0377,144.454,7,0,247120.0
afropop,41.38034148461422,0.6484711262788878,0.436659746365678,0.6258032134839117,0.5345246397821523,0.1513956875250823,0.1598840348384809,-11.091498759690776,0.077084721017059,116.54245898097491,7,1,309968.9752713153
afroswing,77.3125,0.676625,0.31845,0.71175,0.5801875,0.000257895,0.18995,-7.0166875,0.1955625,83.250125,11,0,179995.375
aggrotech,55.66666666666666,0.4433333333333333,0.01186776,0.6013333333333334,0.7123333333333334,0.2519999999999999,0.2596666666666666,-6.408000000000001,0.0342333333333333,116.72133333333332,1,1,236315.0
alabama indie,47.63636363636364,0.5246704545454546,0.3232776022727273,0.557375,0.6261477272727273,0.0574323738636363,0.1192795454545454,-8.763204545454546,0.0487181818181818,120.2792840909091,7,1,242200.63636363635
alabama metal,49.5,0.446,0.002748,0.4065,0.8659999999999999,1.105e-06,0.1406,-3.666,0.0741,110.375,6,1,199820.0
alabama rap,53.22484522645813,0.4694354280128474,0.1407727340641437,0.6861151282409347,0.6118896802122609,0.0004707370890006,0.1623089703486477,-6.678095261369454,0.1694465195736163,114.11048540706604,2,1,224676.31951077597
alaska indie,56.33333333333334,0.7393333333333333,0.1338666666666666,0.7396666666666668,0.4646666666666666,7.75e-05,0.0832,-9.337,0.0472333333333333,134.41466666666668,6,1,186644.3333333333
albanian pop,42.0,0.667,0.00287,0.6829999999999999,0.665,0.0,0.0839,-8.405,0.0499,127.968,8,0,187106.0
albany ny indie,0.0,0.186,0.0005639999999999,0.852,0.251,0.7559999999999999,0.0957,-13.225,0.0683,141.759,8,1,215427.0
alberta country,51.49047619047619,0.5968142857142856,0.2077672619047618,0.5939916666666667,0.7349738095238095,1.958528571428572e-05,0.2258033333333333,-6.57517619047619,0.0557580952380952,113.51413095238097,4,1,206540.95
alberta hip hop,78.5,0.937,0.33,0.885,0.685,0.0,0.148,-6.428999999999999,0.0627,99.954,11,0,144000.0
album rock,38.26057678819572,0.5518872818188616,0.1861824547987221,0.512030610234557,0.6604173890677083,0.0737218923351972,0.21488953424232,-9.885866901716897,0.056725599017659,124.21652716618,9,1,268948.224959657
albuquerque indie,51.11111111111112,0.5921296296296297,0.3502145925925926,0.5621018518518519,0.5874537037037038,0.0164056148148148,0.1803731481481481,-8.425898148148146,0.0334611111111111,126.22573148148147,9,1,227711.3518518519
alt-idol,60.25,0.38475,0.000304725,0.46625,0.9662500000000002,0.22580875,0.3509,-2.6232500000000005,0.16655,131.12875,1,1,240353.75
alte,66.0,0.843,0.0692,0.797,0.5670000000000001,0.0,0.0705,-7.502999999999999,0.0651,108.024,2,1,188889.0
alternative americana,49.82291666666666,0.4446961805555555,0.3482192708333333,0.493904513888889,0.4982638888888888,0.1712250775694444,0.1912529513888888,-9.79526736111111,0.0469487847222222,125.1544184027778,7,1,224527.29861111112
alternative country,42.85791917624276,0.5137621412515364,0.4071150580061164,0.5425796669270009,0.5181552411956074,0.0393726645833564,0.1747228346275166,-10.290235627460508,0.0451604442303254,120.26777292129756,9,1,249887.8559483778
alternative dance,51.05249879643903,0.5260616902218979,0.1518057072040015,0.6040664401877522,0.7370190259126485,0.2112709603567983,0.1914646453326588,-6.637478840309943,0.0549305113528005,126.09572290508493,2,1,268439.2936782172
alternative emo,47.24684037136869,0.4431474543276429,0.1281222615468703,0.4948079814315665,0.7158729260257561,0.0439424859029649,0.1892919646600779,-7.037806588799043,0.0721165738244983,130.59866433063792,5,1,216945.0483378257
alternative hip hop,47.22568090235551,0.612556826541036,0.1882624872239785,0.7009170241158568,0.6928150714421379,0.0373739561853813,0.2346039974925755,-7.516890543495352,0.2506472150144867,106.86016172123112,1,1,246410.96788355516
alternative metal,47.29666726624183,0.4153036925825164,0.058247125931528,0.4588281151396744,0.8308012093781899,0.1010593598200337,0.2100297731250429,-5.887320968125027,0.0826876575048229,126.2008731227211,2,1,245465.761759632
alternative pop,37.63709806397306,0.5475577360080395,0.1100678324866582,0.4550662576444718,0.7592710154263725,0.2146155300291306,0.1725948149737168,-8.791657368369068,0.0509041313131313,128.57391879006906,9,1,221230.53096509312
alternative pop rock,54.08095238095239,0.6437601731601732,0.1704674458874458,0.6192294372294374,0.7202441558441559,1.2122337662337662e-05,0.1875830303030302,-4.751005194805195,0.0687059307359307,116.99954891774888,10,1,200145.9480519481
